Distribution,Outlier,Num_Cat_Feature,Numerical_Feature,Categorical_Feature,Scaler,estimator,Score,Iteration
PowerTransformer(),None,PCA(n_components=1),passthrough,passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1813 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),passthrough,passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1814 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),passthrough,passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1815 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1816 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1817 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1818 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1819 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1820 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1821 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1822 / 7920 of iteration 3/3]
