Numerical_Imputer,Categorical_Imputer,Encoding,Scaler,Estimator,Score,Iteration
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.4125789259110075, [40 / 50 of iteration 16/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),passthrough,LinearRegression,0.3903171038674259, [41 / 50 of iteration 16/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,0.390317103867426, [42 / 50 of iteration 16/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,0.39031710386742585, [43 / 50 of iteration 16/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3903171038674261, [44 / 50 of iteration 16/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,0.39031710386742596, [45 / 50 of iteration 16/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,0.3903171038674259, [46 / 50 of iteration 16/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,0.390317103867426, [47 / 50 of iteration 16/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,0.39031710386742585, [48 / 50 of iteration 16/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3903171038674261, [49 / 50 of iteration 16/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.39031710386742596, [50 / 50 of iteration 16/20]
passthrough,passthrough,OneHotEncoder(),passthrough,LinearRegression,-0.024184864021470708, [1 / 50 of iteration 17/20]
passthrough,passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,-0.024184864021463783, [2 / 50 of iteration 17/20]
